이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,지역,고객 세그먼트
Nicolas Meyer,1987-04-01,38,여,02 27 42 33 41,sebastiengomez@simon.net,"76, chemin de Martel, 39169 Saint Laurence-la-Forêt",ycourtois,2024-11-01,대형 세단,K4,False,2024-12-15,21848669,신용카드,1,오프라인,2022-02,서유럽,3
Anna Petit,1980-03-31,45,남,+33 1 76 61 63 98,mathieuceline@laposte.net,"3, avenue Thibault Paul, 53246 Sainte Michel",toussaintedith,2022-04-08,준중형 해치백,KX7,False,2024-07-03,28089937,현금,2,오프라인,2023-09,서유럽,3
Luca Wagner,1986-10-04,39,여,0642060993,lefevremaryse@tiscali.fr,"15, rue Claire De Sousa, 38207 Legrand",dupuistheophile,2024-08-16,소형 해치백,Cerato,False,2025-01-30,37764665,계좌이체,2,오프라인,2021-08,서유럽,3
Paul Petit,1987-05-08,38,여,04 96 81 03 20,raymondbernard@coulon.com,"454, rue Bertin, 74009 Robert",patrick78,2022-09-03,소형 해치백,Optima / K5,False,2023-11-19,21701033,현금,2,오프라인,2020-05,서유럽,3
Isabelle Schmidt,1969-01-05,56,남,+33 (0)8 09 58 73 60,remyfournier@live.com,"1, avenue Julien Rey, 32791 Picard-sur-Mer",theresedenis,2023-12-26,준대형 SUV,KX1,False,2025-01-06,27482411,신용카드,4,온라인,2020-06,서유럽,2
Elena Fischer,1972-04-28,53,남,02 29 96 81 75,hervetheodore@laposte.net,"22, avenue Benoît Blanchard, 24746 Voisin-les-Bains",jclement,2023-09-25,중형 세단,Syros,False,2024-06-26,56045706,계좌이체,3,온라인,2023-09,서유럽,1
Isabelle Fischer,1969-02-05,56,여,+33 6 70 35 97 97,oguillou@roussel.fr,"439, boulevard Matthieu Masse, 99572 Saint Bernard",timotheegoncalves,2022-10-05,대형 세단,EV9,True,2023-01-09,54913512,신용카드,1,오프라인,2019-05,서유럽,0
Jean Dupont,1984-10-26,41,남,+33 (0)6 14 68 13 89,davidlecomte@philippe.org,"52, rue de Coulon, 04176 Berthelot",virginie10,2023-04-23,준중형 세단,K2,False,2024-09-08,38478325,계좌이체,2,오프라인,2023-12,서유럽,3
Anna Fischer,1964-09-15,61,남,+33 (0)4 64 04 03 97,gabrielmasson@wanadoo.fr,"404, boulevard de Chevalier, 48219 Marie-sur-Roy",malletwilliam,2023-04-29,픽업트럭,K3,False,2023-12-08,19481828,신용카드,3,온라인,2022-04,서유럽,2
Jean Rossi,1968-07-31,57,여,0401664150,vtraore@ifrance.com,"rue de Fleury, 15329 Gauthier",isabelle39,2022-10-25,준중형 해치백,KX7,False,2025-01-05,20324354,계좌이체,2,온라인,2018-12,서유럽,3
Paul Rossi,1974-10-10,51,여,+33 2 35 96 34 72,nathaliedupuy@tele2.fr,"29, chemin Jacques Hebert, 30872 Dubois",anastasierenault,2024-06-23,준중형 세단,K4,False,2024-07-08,57736180,계좌이체,1,오프라인,2022-01,서유럽,0
Elena Wagner,1965-02-02,60,남,+33 2 54 06 46 76,marinwilliam@tiscali.fr,"33, rue de Payet, 65564 Nicolas",jacqueline30,2022-05-18,중형 SUV,Forte,False,2022-09-07,62155817,신용카드,1,온라인,2020-10,서유럽,0
Nicolas Schmidt,1989-04-18,36,남,+33 (0)1 38 24 03 09,margotguillou@ruiz.org,"46, boulevard Delahaye, 66958 Sainte Pénélope",alfred66,2023-07-12,소형 해치백,K4,False,2024-03-09,60014727,현금,1,오프라인,2022-04,서유럽,0
Camille Petit,1992-01-05,33,여,0801571792,richardguillaume@lopes.com,"15, chemin Zoé Imbert, 98280 Mendès",rblin,2023-05-30,대형 SUV,EV9,True,2023-12-24,65007493,계좌이체,2,온라인,2018-01,서유럽,0
Thomas Meyer,1966-04-18,59,남,+33 (0)3 01 05 68 97,hubertmonique@noos.fr,"54, rue Noël, 96892 Lesagedan",oblin,2023-06-29,소형 해치백,Telluride,False,2024-07-21,63356350,신용카드,1,오프라인,2018-08,서유럽,0
Anna Dupont,1986-01-02,39,남,03 35 72 23 15,xfontaine@allain.org,"95, rue Da Silva, 54475 Saint Raymondboeuf",ehuet,2025-02-17,준중형 SUV,Optima / K5,False,2025-03-16,23848181,현금,1,온라인,2019-02,서유럽,3
Jean Schmidt,1982-07-01,43,남,+33 (0)2 02 03 28 70,edelannoy@tiscali.fr,"15, rue de Tessier, 73222 Berger",andreeda-silva,2022-08-17,준대형 SUV,Syros,False,2024-07-21,52885799,현금,3,온라인,2021-08,서유럽,1
Camille Wagner,1988-09-01,37,여,0226988320,richardgerard@langlois.com,"boulevard de Dupuy, 67278 Voisin",alphonselucas,2023-02-20,픽업트럭,Cerato,False,2024-07-17,25304540,현금,1,온라인,2021-12,서유럽,3
Nicolas Dubois,1984-01-17,41,여,0277146733,gerardberger@fournier.com,"14, rue Nguyen, 74341 LaporteBourg",louise76,2025-02-12,대형 SUV,EV9,True,2025-03-21,19107431,현금,2,오프라인,2022-01,서유럽,3
Thomas Dupont,1989-07-03,36,여,+33 (0)5 50 21 86 45,bruneauthibaut@marchal.fr,"961, boulevard de Michel, 40303 Pelletier",alexandriebreton,2023-08-25,소형 해치백,Tucson(NX4),False,2024-11-25,20906051,현금,1,오프라인,2022-08,서유럽,3
Paul Schmidt,1988-10-14,37,남,+33 4 97 20 56 00,claude20@free.fr,"773, rue Caroline Fernandez, 60113 Saint Grégoire",marcelmartineau,2022-12-03,준중형 SUV,Syros,False,2023-12-25,37298616,계좌이체,2,온라인,2018-07,서유럽,3
Anna Schmidt,1988-05-22,37,여,0333745365,dos-santosamelie@tiscali.fr,"rue Delaunay, 82459 Lemoine-les-Bains",laurebousquet,2024-04-26,대형 SUV,Sonet,False,2024-06-20,41688823,계좌이체,4,온라인,2023-09,서유럽,2
Jean Fischer,1983-03-10,42,남,0139609960,ineschevalier@voila.fr,"rue Nicole Jacques, 08165 Blot",hortense85,2025-01-20,대형 세단,Carnival (CKD),False,2025-01-26,29445078,현금,1,오프라인,2019-10,서유럽,3
Thomas Dubois,1989-02-05,36,남,+33 4 20 92 83 53,manonparis@dbmail.com,"6, boulevard Garcia, 64861 Cohen",lpruvost,2023-02-22,준중형 세단,K2,False,2025-01-25,54599068,신용카드,4,오프라인,2021-06,서유럽,1
Elena Wagner,1976-10-31,49,여,0169649289,paulineevrard@noos.fr,"avenue Hoareau, 00547 Guyot-les-Bains",laure44,2022-11-06,준중형 해치백,C'eed CUV,False,2025-03-28,68733467,신용카드,1,온라인,2021-12,서유럽,0
Camille Schmidt,1976-05-19,49,남,+33 (0)5 83 25 51 26,guilletmadeleine@free.fr,"272, avenue Chauvet, 86602 Coste",erolland,2023-12-28,준대형 세단,K5,False,2024-09-29,51054400,계좌이체,1,온라인,2023-01,서유럽,0
Camille Müller,1967-07-06,58,여,+33 (0)8 02 40 40 34,adelattre@noel.net,"49, avenue de Léger, 47042 Sainte Suzanne",tmace,2024-05-05,중형 SUV,Forte,False,2025-02-17,58316009,현금,2,온라인,2021-01,서유럽,0
Jean Schmidt,1992-09-23,33,여,+33 4 59 43 01 22,georges53@dbmail.com,"9, rue Madeleine Jourdan, 09822 Sainte Guillaumeboeuf",jeromearnaud,2023-05-31,픽업트럭,KX1,False,2023-06-06,19022820,신용카드,5,온라인,2021-01,서유럽,2
Isabelle Petit,1999-09-02,26,남,0207493834,pjoly@lebrun.fr,"3, rue de Pierre, 22760 Coste",stephaniedenis,2024-08-21,대형 세단,K3,False,2024-09-30,35893563,현금,5,오프라인,2022-11,서유럽,2
Elena Dubois,1992-03-13,33,남,0480643855,laetitiablin@antoine.net,"6, rue de Petit, 69046 Gomes",mahechristelle,2023-03-27,준대형 세단,Sportage,False,2024-10-29,27324333,현금,1,오프라인,2020-10,서유럽,3
Anna Müller,1971-09-07,54,여,0593775335,colassusan@dbmail.com,"44, chemin Moreau, 98443 Foucher",renardtristan,2023-05-17,픽업트럭,KX7,False,2024-06-07,65950354,계좌이체,1,오프라인,2023-12,서유럽,0
Anna Schmidt,1970-05-01,55,남,+33 3 78 06 64 48,yguillet@ifrance.com,"255, avenue Gosselin, 11836 Sainte Maurice",yrichard,2025-03-20,중형 세단,Zhipao,False,2025-03-27,52606789,신용카드,1,온라인,2018-03,서유럽,0
Isabelle Laurent,1986-01-20,39,남,0545651541,matthieurocher@noos.fr,"50, rue Diaz, 25814 Saint Luce",nicolasmarguerite,2022-10-05,준중형 세단,KX3,False,2025-03-19,44846175,현금,3,오프라인,2018-09,서유럽,1
Paul Laurent,1965-12-08,60,남,0604428164,delahayeoceane@wanadoo.fr,"avenue de Bonnin, 55197 Alexandre",stephaneneveu,2023-05-28,중형 SUV,K2,False,2024-02-29,27164780,계좌이체,1,온라인,2020-11,서유럽,3
Jean Dubois,1985-11-30,40,여,02 58 24 76 82,agathe97@laposte.net,"rue Georges Torres, 60026 Hernandeznec",falbert,2024-02-01,준대형 세단,Seltos,False,2024-05-05,22119136,계좌이체,2,온라인,2018-02,서유럽,3
Isabelle Meyer,1976-04-10,49,여,+33 (0)3 29 76 37 75,margaud79@club-internet.fr,"boulevard de Roche, 67116 Pelletier",xaviercolin,2022-10-27,준중형 해치백,Zhipao,False,2023-10-14,36539547,계좌이체,2,오프라인,2018-05,서유럽,3
Jean Schmidt,1991-04-26,34,여,+33 2 91 87 93 75,icouturier@monnier.com,"boulevard Nicole Gillet, 07138 Deschamps-sur-Ollivier",jlaroche,2023-09-04,중형 세단,K2,False,2024-04-23,56971368,현금,1,온라인,2023-03,서유럽,0
Thomas Dubois,1967-10-09,58,남,04 94 53 93 41,martincordier@cordier.com,"boulevard Andrée Pineau, 06474 Sainte Alexandrie",hubertchristelle,2023-08-03,준대형 SUV,Accent (HC),False,2023-08-12,44020463,현금,4,온라인,2019-01,서유럽,1
Nicolas Laurent,1972-09-08,53,남,02 05 57 04 78,payetnicolas@tiscali.fr,"63, avenue Victoire Paul, 64296 Lecomte",legendrethomas,2023-06-15,준대형 SUV,KX3,False,2024-06-15,51817046,신용카드,3,오프라인,2018-06,서유럽,1
Ravi Chen,1969-10-19,56,남,+44161 4960741,sjones@hotmail.com,"516 Andrew point, West Glenborough, ST8 5EA",fletchermegan,2022-05-21,준중형 해치백,Pegas,False,2024-04-13,42836751,신용카드,1,오프라인,2021-11,아시아,3
Sooyeon Le,1993-08-14,32,남,+44113 496 0345,higginsamelia@woods-white.com,"Flat 21j, Duncan flats, New Bryanbury, B1U 8UQ",sandrasimpson,2022-09-12,대형 세단,Cerato,False,2023-06-09,65922302,계좌이체,1,오프라인,2018-03,아시아,0
Jisoo Patel,1992-09-03,33,남,(0113) 4960026,glenn86@gmail.com,"6 Billy plain, Knighttown, G53 5PF",danielsinclair,2024-07-14,준대형 SUV,K3,False,2024-11-02,56611718,계좌이체,2,오프라인,2020-10,아시아,0
Minh Le,1999-11-22,26,여,(0114) 496 0302,wardconnor@yahoo.co.uk,"Studio 46D, Karl ranch, Port Sylviaport, CF8 0TD",martinmarc,2025-01-09,중형 세단,Telluride,False,2025-03-15,31264403,현금,3,오프라인,2020-04,아시아,2
Wei Tanaka,1987-09-17,38,남,(0114)4960463,bethany65@hotmail.co.uk,"Flat 76l, Diane port, Lake Eileen, TF8 7HT",austinjeffrey,2022-09-15,준대형 SUV,K5,False,2025-03-30,51543253,계좌이체,4,온라인,2018-05,아시아,1
Wei Sato,1996-09-25,29,남,(0141) 4960174,emilystokes@jones.com,"Flat 4, Fisher pass, Danielville, G9K 9DA",georgegemma,2023-04-16,중형 세단,Cerato,False,2025-02-19,46749612,신용카드,2,온라인,2023-08,아시아,0
Jiho Park,1966-12-07,59,여,(0113) 496 0199,kedwards@moore-randall.com,"060 Lynch village, New Bethanyburgh, W0D 5BQ",rosiethomas,2023-04-23,중형 SUV,Optima / K5,False,2023-11-04,24277979,현금,1,오프라인,2020-09,아시아,3
Thanh Nguyen,1991-06-14,34,남,(029) 2018 0943,jeremy25@yahoo.co.uk,"4 Stuart harbor, Dennishaven, L32 3BD",georginarussell,2024-12-13,중형 세단,Rio(pride),False,2025-03-22,21789427,현금,2,오프라인,2023-08,아시아,3
Hiroshi Sato,1975-04-23,50,남,+44(0)115 4960672,emily11@wong.info,"Flat 97, Louis knolls, Rhysland, M4W 6ZB",katherine83,2023-09-03,대형 세단,Pegas,False,2024-07-03,57337441,현금,1,오프라인,2019-08,아시아,0
Hiroshi Nguyen,1977-10-22,48,여,0121 496 0716,taylormegan@hopkins-hunt.biz,"Flat 06x, Lee drive, West Sophie, GU1M 7TE",gareth10,2023-08-06,픽업트럭,EV5,True,2024-03-31,26551445,신용카드,6,온라인,2023-04,아시아,2
Wei Li,1980-12-01,45,남,0131 496 0137,carolynsmith@johnson.com,"807 Freeman landing, Kathrynland, PO2V 1TS",oroberts,2024-07-03,준중형 SUV,Telluride,False,2024-10-02,40055469,현금,4,온라인,2023-07,아시아,2
Minh Kumar,1982-01-19,43,남,(0161)4960862,mary16@gmail.com,"8 Brown bridge, West Joshua, SY9A 8RD",harrisonconor,2022-05-03,준중형 해치백,K5,False,2024-04-22,60048486,현금,5,온라인,2020-12,아시아,1
Hiroshi Patel,1993-07-25,32,여,+44151 4960034,hancockwayne@yahoo.co.uk,"Flat 64y, Barry shore, Samuelmouth, LE6 1YX",paigecox,2025-03-02,픽업트럭,KX1,False,2025-03-17,28380815,현금,3,온라인,2023-05,아시아,2
Ananda Sato,1979-11-12,46,남,(0113) 496 0168,elong@hotmail.co.uk,"Studio 5, Timothy mount, West Bryantown, M28 5RT",annetteclark,2022-09-12,준중형 세단,KX7,False,2022-11-24,28995431,현금,1,온라인,2021-11,아시아,3
Jisoo Chen,1972-09-29,53,남,+44(0)1514960660,rblackburn@turner.com,"856 Christopher forks, West Yvonne, B0 3NP",marionbarrett,2024-12-11,준중형 해치백,Forte,False,2025-03-13,20975460,계좌이체,1,온라인,2021-10,아시아,3
Ananda Li,1985-05-03,40,남,(01632) 960221,carole81@gmail.com,"Studio 13, Lee mills, Louismouth, G8A 3ZR",elliotbishop,2024-05-03,대형 SUV,Seltos,False,2025-03-14,24615357,현금,1,온라인,2020-10,아시아,3
Thanh Patel,1976-11-27,49,여,028 9018 0713,davieskatherine@mills.com,"Studio 21U, Sam court, New Judith, TN2W 4QN",qthomas,2023-08-10,준중형 SUV,KX1,False,2024-03-16,20461188,계좌이체,2,온라인,2021-05,아시아,3
Minh Nguyen,1981-02-22,44,남,(0117)4960212,hilary43@yahoo.com,"Studio 39l, Darren mountain, Port Petermouth, YO0V 0XD",djohnson,2022-12-05,픽업트럭,EV5,True,2023-12-19,44592002,계좌이체,1,오프라인,2021-04,아시아,0
Yuki Tanaka,1978-10-20,47,남,+44141 496 0935,hallsally@collins-barker.com,"67 Hammond heights, New Joshchester, W4 5SH",chumphreys,2022-10-04,중형 SUV,KX1,False,2024-12-20,43736495,계좌이체,2,오프라인,2022-04,아시아,0
Ananda Park,1997-03-18,28,남,0115 496 0513,frostbryan@wright.com,"Flat 36, Paige trafficway, West Jennifershire, LA64 3TW",alan79,2022-05-15,준중형 해치백,KX7,False,2025-02-03,52201611,신용카드,3,오프라인,2022-01,아시아,1
Jisoo Sato,1985-03-06,40,여,+44(0)151 496 0552,portergavin@booth.com,"001 Diana estates, Jaynebury, CF5 2DG",mitchelllauren,2022-07-27,픽업트럭,KX3,False,2023-01-03,40502195,현금,5,오프라인,2018-11,아시아,2
Jisoo Li,1967-03-21,58,남,+44(0)191 496 0809,cooperchristine@hotmail.co.uk,"Studio 1, Taylor burg, West Francesstad, S06 1UN",abigail07,2023-04-25,준중형 세단,Pegas,False,2024-08-03,47426909,현금,1,오프라인,2022-04,아시아,0
Minh Kumar,1986-11-05,39,남,+441164960249,omatthews@hotmail.co.uk,"Flat 0, Byrne heights, Lake Samanthamouth, NW7A 5FZ",lee63,2023-09-04,중형 세단,KX5,False,2024-04-21,33724464,신용카드,2,온라인,2022-07,아시아,3
Jiho Li,1971-09-29,54,여,+4428 9018 0678,richardwhite@hotmail.com,"Flat 98R, Suzanne road, Smithberg, GU3H 0XQ",taylorscott,2024-03-21,준중형 세단,Carnival,False,2024-06-29,51029263,계좌이체,1,오프라인,2023-03,아시아,0
Thanh Kim,1999-02-07,26,여,+44(0)28 9018162,kyle05@yahoo.co.uk,"99 Jacob wells, New Bethanyview, IG63 5SZ",fraserkerry,2024-02-18,픽업트럭,Pegas,False,2024-12-19,35880124,계좌이체,2,온라인,2023-11,아시아,3
Ananda Nguyen,1970-06-29,55,남,08081570976,kathleenmoore@brown.com,"Flat 2, Samantha isle, North Dorothybury, B8 7XX",elliottbarry,2022-11-04,준대형 세단,Pegas,False,2023-08-17,34557833,신용카드,2,오프라인,2023-03,아시아,3
Ananda Kim,1965-07-12,60,여,+44(0)1614960652,hmorley@parker-ingram.biz,"Studio 11, Turner center, Braymouth, G85 7TY",qphillips,2022-04-01,준중형 SUV,C'eed CUV,False,2024-06-20,23793483,계좌이체,3,오프라인,2018-12,아시아,2
Thanh Nguyen,1988-10-18,37,남,+44116 496 0286,jenniferkennedy@patel.biz,"Studio 2, Mohammad cove, Knightfurt, B4C 8ZG",shirley86,2024-02-12,픽업트럭,Carnival,False,2024-06-10,51644379,신용카드,1,오프라인,2023-01,아시아,0
Jiho Chen,1984-06-03,41,여,+44115 4960954,elaine17@thompson-pearce.info,"76 Ross junction, West Sharonstad, L1E 0ZZ",bernard21,2024-07-19,준중형 세단,C'eed,False,2025-02-27,28707861,계좌이체,1,온라인,2019-10,아시아,3
Ananda Le,1980-05-17,45,남,(0115) 496 0530,xmiller@hotmail.com,"880 Knight rapids, South Glenburgh, BT8 9TP",eowens,2022-09-04,픽업트럭,C'eed,False,2024-08-06,35429694,신용카드,3,온라인,2020-08,아시아,2
Hiroshi Nguyen,1989-01-17,36,여,(0909)8790240,georgia61@yahoo.com,"Studio 4, Little canyon, West Stewartland, N0A 0HA",pcurtis,2024-10-10,대형 세단,Rio(pride),False,2025-01-18,31642525,현금,1,오프라인,2023-11,아시아,3
Ananda Tanaka,1985-02-24,40,여,0118 4960634,stanleyanne@hotmail.com,"04 Butler street, New Carolyn, BS3 0TW",qday,2023-01-20,준대형 세단,Rio(pride),False,2023-04-10,41035842,계좌이체,1,온라인,2019-11,아시아,3
Minh Li,1970-03-13,55,여,+44(0)1184960118,bmistry@thomas.com,"Studio 4, Knight trail, Jeanport, B50 8BA",farmerhilary,2022-11-22,픽업트럭,Carens MPV,False,2024-09-01,33935900,신용카드,3,온라인,2022-03,아시아,2
Sooyeon Li,1964-07-07,61,여,+44292018620,richardsjohn@lee-bevan.com,"23 Michelle street, Wilsonview, JE4 0LB",swright,2022-11-14,준중형 SUV,Carens MPV,False,2024-05-12,63213557,신용카드,1,온라인,2018-09,아시아,0
Thanh Li,1973-11-12,52,남,+441154960021,callum07@hutchinson-watson.com,"5 Murray row, Lake Pauline, E5 7NN",dawsonmary,2022-11-22,준중형 해치백,Carnival,False,2023-05-22,45203496,신용카드,1,오프라인,2020-04,아시아,0
Minh Park,1983-09-25,42,남,+44(0)292018598,catherine16@outlook.com,"Studio 17R, Patel extension, Wilkinsonland, SG1 5AD",albert70,2022-04-18,중형 SUV,Carnival,False,2023-06-30,42506522,계좌이체,3,오프라인,2020-11,아시아,1
Sooyeon Kim,1965-05-11,60,여,(0909) 8790173,fshepherd@woods.co.uk,"1 Kathryn junction, Lucyton, S0 6DZ",marion42,2023-09-21,중형 SUV,Sportage,False,2025-03-12,64956085,신용카드,1,온라인,2019-04,아시아,0
Sooyeon Sato,1981-03-26,44,여,+44(0)1214960253,osbornedean@gmail.com,"Studio 99, Riley harbors, Paulside, N8 8FE",stewart96,2023-01-18,픽업트럭,Sportage,False,2023-02-04,54160238,신용카드,2,오프라인,2019-09,아시아,0
Ananda Patel,1998-08-03,27,남,0118 496 0977,geoffrey88@oconnor.org,"91 Antony unions, Wilsonside, KT4W 5NL",vbrown,2023-08-08,준대형 세단,Seltos,False,2024-03-20,40777923,현금,2,오프라인,2020-09,아시아,3
Jiho Nguyen,1988-11-02,37,남,0117 496 0882,eileenwood@armstrong.com,"Flat 38j, Stephenson drive, South Jay, W6J 7YX",thomassusan,2022-10-06,중형 SUV,Rio(pride),False,2023-09-29,35423691,현금,1,오프라인,2023-10,아시아,3
Hiroshi Nguyen,1971-08-30,54,남,+44121 496 0692,teresaknight@davies.com,"Flat 62, Morris parkway, Leahshire, E1W 5UQ",iwilson,2023-12-25,준중형 해치백,KX3,False,2025-02-20,41933299,계좌이체,2,오프라인,2018-08,아시아,3
Thanh Park,2000-01-14,25,남,+44113 4960507,lewis15@yahoo.com,"Flat 8, Morris valleys, Lake Iantown, B03 2UP",hallkyle,2024-07-01,준중형 세단,C'eed CUV,False,2024-11-30,40776910,신용카드,1,오프라인,2018-05,아시아,3
Yuki Chen,1979-05-06,46,여,+441154960494,dianejohnston@gmail.com,"845 Hope ferry, West Sophieville, WR27 1XY",kellynicole,2024-05-07,대형 SUV,Sonet,False,2025-03-06,58985850,계좌이체,3,온라인,2023-08,아시아,1
Thanh Kumar,1972-10-05,53,여,(0115)4960728,mmetcalfe@oliver-powell.net,"Studio 79, John corners, O'Connorberg, B62 8AT",carolinekirby,2023-09-03,준중형 SUV,Accent (HC),False,2024-10-03,26661531,계좌이체,2,온라인,2021-06,아시아,3
Jiho Kim,1988-12-21,37,남,01414960932,rita34@yahoo.com,"Flat 2, Hartley prairie, West Lukeside, DL4N 3TJ",james92,2025-01-07,대형 SUV,Carnival (CKD),False,2025-02-13,33200998,현금,1,온라인,2022-11,아시아,3
Ananda Kumar,1975-12-27,50,남,(0131) 496 0261,jake54@gmail.com,"870 Gareth cliff, South Naomi, L9 3FH",rholden,2025-02-15,준중형 세단,Sorento,False,2025-03-18,28732912,계좌이체,1,오프라인,2018-09,아시아,3
Jisoo Le,1983-12-14,42,남,0131 496 0122,qhorton@gmail.com,"Studio 0, Murray lodge, Gerardberg, W0 7EJ",frances99,2022-11-28,준대형 세단,Tucson(NX4),False,2023-11-27,24445816,계좌이체,2,온라인,2023-03,아시아,3
Wei Tanaka,1981-01-14,44,여,+44(0)114 4960289,nicholsonsharon@outlook.com,"Flat 23e, Abbie expressway, Walkerstad, FK89 6RU",emma55,2022-05-07,준대형 SUV,Accent (HC),False,2023-11-21,21746204,신용카드,2,온라인,2018-10,아시아,3
Ananda Nguyen,1994-12-18,31,여,+441214960194,scott54@dale.net,"5 James greens, Marshallstad, YO0X 6QH",ronald54,2025-01-10,중형 세단,Tucson(NX4),False,2025-01-24,38670312,현금,3,온라인,2023-07,아시아,2
Ravi Sato,1974-07-02,51,여,03069990880,emilyharper@jones.com,"Studio 9, Marshall well, Kingborough, N20 8XZ",fbyrne,2022-08-10,준중형 SUV,Syros,False,2022-10-29,53978751,현금,5,오프라인,2021-04,아시아,1
Hiroshi Li,1994-08-26,31,여,+44(0)808 1570630,udouglas@gardiner.co.uk,"Studio 9, Sylvia mills, North Arthur, S8J 3XQ",trevor51,2022-05-15,준중형 SUV,EV6,True,2025-03-19,26122300,현금,1,오프라인,2020-07,아시아,3
Hiroshi Le,1980-12-03,45,남,(0118) 4960667,lowesheila@smith.com,"727 Crawford canyon, Port Adrianland, KY6 1DA",paige55,2024-03-08,준중형 세단,Sonet,False,2024-12-05,37139300,신용카드,2,온라인,2020-10,아시아,3
Minh Sato,1977-05-03,48,남,(0909) 8790938,tonybrown@hughes-cooper.biz,"Studio 1, Richards burg, West Stanleyburgh, W1H 0LH",murraybrian,2023-01-20,중형 세단,Optima / K5,False,2025-03-13,56862534,현금,1,온라인,2019-05,아시아,0
