이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,국가,고객 세그먼트,Cluster
Omar Jafari,1968-02-20,57,남,+44306 9990429,barberlynn@yahoo.co.uk,"21 Nolan branch, New Antony, B26 1LG",ephillips,2022-07-03,준중형 해치백,G80,False,2024-04-19,85900000,신용카드,3,온라인,2021-05,중동아프리카,1,2
Zahra Farsi,1965-12-19,60,여,+44909 879 0177,jonathanmatthews@williams.com,"93 Jeffrey loop, Akhtarview, OX31 2YL",pwilliams,2024-08-09,준중형 세단,G80,False,2024-08-11,79060000,계좌이체,2,오프라인,2021-05,중동아프리카,1,2
Fatima Mansour,1979-05-17,46,남,020 7946 0065,popebruce@hotmail.co.uk,"939 Scott mountain, Port Valerie, E29 6JQ",burnslynne,2024-01-26,소형 해치백,Kona,True,2024-03-12,38600000,현금,3,오프라인,2022-02,중동아프리카,3,3
Ahmed Ibrahim,1972-10-12,53,남,+448081570667,ronald72@hotmail.co.uk,"Flat 97, Johnson road, Danielmouth, AB8V 4AS",wturner,2024-01-01,대형 세단,Santa Fe,False,2024-01-17,31100000,계좌이체,2,온라인,2020-10,중동아프리카,0,0
Mina Rahimi,1975-10-16,50,여,+44(0)1134960801,thompsonmartin@odonnell-curtis.com,"Flat 89c, Kyle estate, Alexbury, G02 5DB",karenhowe,2023-08-27,대형 SUV,Grandeur,False,2024-05-20,66480000,계좌이체,3,온라인,2022-03,중동아프리카,1,2
Khaled Ibrahim,1968-04-14,57,여,(0115)4960935,jill03@yahoo.co.uk,"333 Billy vista, South Ben, S2A 5YX",adrianclarke,2023-05-23,준중형 SUV,NEXO,True,2024-12-27,68850000,계좌이체,3,오프라인,2018-03,중동아프리카,1,2
Samira Hassan,1982-08-20,43,남,+44(0)1144960290,june65@hotmail.co.uk,"2 Jean locks, North Hayley, HA95 2DA",xclayton,2023-05-21,중형 세단,i20,False,2024-09-29,26830000,계좌이체,4,오프라인,2020-05,중동아프리카,3,3
Zahra Rahimi,1970-07-27,55,여,020 7946 0375,jeremybyrne@campbell.info,"626 Jones drive, Smithville, B96 7JA",bradshawsam,2025-01-19,대형 SUV,GV70,False,2025-03-11,80060000,계좌이체,5,온라인,2022-08,중동아프리카,3,3
Zahra Hassan,1982-07-10,43,여,+441214960240,dianawhitehouse@marshall-taylor.com,"Flat 4, Bradley courts, West Frankton, W7K 2LT",karenmarshall,2023-04-25,준대형 세단,i20,False,2025-02-20,26820000,계좌이체,1,오프라인,2020-05,중동아프리카,0,0
Samira Saleh,1973-03-07,52,여,(0116) 496 0188,teresa58@wright.com,"Studio 0, Hughes light, East Damian, S51 9BG",jade84,2024-02-02,픽업트럭,Elantra,False,2024-09-02,36190000,신용카드,3,오프라인,2020-08,중동아프리카,2,5
Mina Ali,1968-02-23,57,남,+44(0)909 8790858,joannathompson@hotmail.com,"Flat 62, Natasha grove, Jonesshire, N43 5DY",kthompson,2022-12-24,준대형 세단,Venue,False,2023-10-05,29540000,신용카드,5,오프라인,2021-01,중동아프리카,3,3
Ahmed Farsi,1988-02-02,37,여,01134960182,tthompson@yahoo.co.uk,"Flat 94, Leah bridge, Port Leslieburgh, M14 9AA",sbyrne,2024-02-17,중형 세단,i20,False,2024-03-18,27610000,현금,3,오프라인,2020-05,중동아프리카,0,0
Ahmed Hassan,1973-05-23,52,남,+441414960604,robsonrebecca@yahoo.co.uk,"7 Willis brook, New Keith, E9 3QH",aaronwalsh,2024-03-20,중형 세단,Accent,False,2024-04-25,25310000,신용카드,3,오프라인,2019-03,중동아프리카,2,5
Khaled Jafari,1970-02-26,55,남,+4420 74960360,harnold@hall.com,"Flat 61R, Holden centers, Simpsonberg, GL38 0AY",julian72,2023-02-04,대형 세단,GV70,False,2024-03-31,88910000,현금,1,온라인,2022-08,중동아프리카,1,2
Ahmed Rahimi,1993-01-28,32,여,+44(0)1144960762,martinjoe@clark-graham.org,"Studio 16t, Marc stravenue, South Damienview, CH3 2TU",enorris,2024-01-12,소형 해치백,Avante,False,2024-02-05,22360000,신용카드,1,오프라인,2020-09,중동아프리카,2,5
Omar Rahimi,1992-12-17,33,남,(0909) 879 0349,sarasimpson@hotmail.com,"55 Denise plaza, Brownland, PR99 2NG",youngmitchell,2024-08-17,중형 세단,Elantra,False,2024-11-10,39340000,현금,1,온라인,2020-08,중동아프리카,2,5
Mina Saleh,1994-07-19,31,남,+44121 496 0441,geraldphillips@yahoo.co.uk,"694 Tyler branch, West Billy, N3G 6XY",whitejade,2022-12-24,픽업트럭,Kona,True,2023-10-27,43840000,계좌이체,2,오프라인,2022-02,중동아프리카,0,0
Fatima Rahimi,1999-05-05,26,남,(0151) 496 0410,julian85@young.com,"Studio 43u, Ryan prairie, South Eleanor, M6 4US",harriscaroline,2024-05-23,대형 세단,NEXO,True,2024-12-11,53450000,신용카드,1,오프라인,2018-03,중동아프리카,2,1
Omar Khalid,1982-01-26,43,여,+44(0)118 4960370,wreeves@yahoo.co.uk,"Flat 67i, Mitchell lodge, West Katyport, CA8N 0FT",kbennett,2024-09-12,대형 SUV,EV6,True,2024-10-24,79410000,계좌이체,1,오프라인,2022-05,중동아프리카,1,2
Khaled Khalid,1964-12-31,61,여,+44306 999 0845,jbrooks@brown-stewart.com,"Flat 5, Julian squares, South Vincent, PE83 0RU",bking,2023-12-19,준중형 SUV,EV6,True,2024-12-18,76880000,신용카드,2,온라인,2022-05,중동아프리카,1,2
Zahra Saleh,1972-06-05,53,여,+441914960222,egregory@hotmail.co.uk,"087 Mills parkway, Sianton, LN39 3NG",bscott,2023-08-02,중형 SUV,EV6,True,2024-12-09,89760000,계좌이체,1,오프라인,2022-05,중동아프리카,1,2
Mina Ali,1986-03-15,39,남,0909 8790049,terencegarner@smith.biz,"Studio 70A, Martin villages, Port Brianfurt, B73 8ZD",abigailoneill,2022-11-25,대형 SUV,K5,False,2024-09-05,61550000,신용카드,1,온라인,2020-01,중동아프리카,1,1
Mohamed Hassan,1986-03-20,39,여,+44(0)909 8790337,arahman@davison.com,"Flat 03, Nicholas spring, West Josh, RH9Y 1NQ",ypower,2024-10-16,중형 세단,G80,False,2024-11-19,73030000,신용카드,2,오프라인,2021-05,중동아프리카,1,1
Layla Ali,1968-07-26,57,남,028 9018587,chanlynda@marsden.net,"2 Natalie stream, South Meganhaven, S6 3EP",webbnaomi,2023-04-27,대형 SUV,Venue,False,2025-03-12,20170000,계좌이체,1,온라인,2021-01,중동아프리카,0,0
Omar Rahimi,1973-11-26,52,여,0909 8790815,lucyrussell@jones.com,"Flat 7, Dennis burgs, New Ruthland, CW62 9SX",naomitaylor,2023-07-03,소형 해치백,Venue,False,2024-02-20,24390000,현금,2,온라인,2021-01,중동아프리카,0,0
Omar Farsi,2000-01-30,25,남,+44(0)1214960007,anna27@white.biz,"Flat 2, Stevenson curve, New Ryanhaven, B39 7BG",qchamberlain,2023-06-09,소형 해치백,Santa Fe,False,2024-01-04,35530000,현금,1,온라인,2020-10,중동아프리카,2,5
Mohamed Saleh,1979-02-07,46,남,+44(0)1214960962,zoe70@gmail.com,"424 Sylvia wells, Robinchester, B9B 3TQ",johnclayton,2023-05-18,중형 SUV,Sportage,False,2024-08-02,43480000,계좌이체,1,온라인,2021-11,중동아프리카,0,0
Ahmed Ibrahim,1994-12-17,31,남,+44141 4960039,wsavage@hotmail.com,"Flat 24c, Evans square, Smithland, NN7N 0JR",denise82,2022-10-01,준중형 SUV,Ioniq 6,True,2024-03-31,75080000,계좌이체,1,오프라인,2023-01,중동아프리카,1,1
Samira Benali,1994-12-27,31,남,+44161 4960385,mali@yahoo.com,"Flat 6, Gough rapids, Abbottland, N94 2FB",christian98,2023-11-22,준중형 SUV,Ioniq 6,True,2024-04-13,82120000,현금,5,오프라인,2023-01,중동아프리카,3,4
Mina Jafari,1975-07-12,50,남,+44(0)141 496 0992,efletcher@wells-pearce.biz,"69 Joan street, East Danny, W6J 7TZ",christinebell,2024-02-02,준대형 세단,Ioniq 6,True,2024-02-11,84560000,계좌이체,1,오프라인,2023-01,중동아프리카,1,2
Fatima Saleh,1984-09-26,41,남,+44115 4960348,norristony@bradley.net,"2 Potts avenue, West Joelton, SE7P 9DN",joshuataylor,2024-08-23,준중형 세단,Santa Fe,False,2024-09-19,38450000,신용카드,1,오프라인,2020-10,중동아프리카,2,5
Ahmed Khalid,1979-01-23,46,남,(0121) 4960103,derek87@yahoo.com,"Studio 56t, Dorothy square, West Mark, PR2 8GJ",dale09,2024-04-21,중형 SUV,NEXO,True,2024-10-03,60050000,계좌이체,1,오프라인,2018-03,중동아프리카,1,2
Omar Benali,1993-05-18,32,여,+44(0)2074960194,shirleysingh@hotmail.co.uk,"Studio 8, Christopher corner, Slaterbury, AB7W 6EW",ebradshaw,2022-11-23,준대형 세단,Ioniq 6,True,2024-02-17,79190000,신용카드,1,온라인,2023-01,중동아프리카,1,1
Mina Ibrahim,1964-09-14,61,여,+44121 4960347,elliselliott@yahoo.com,"95 Glover center, Jonesborough, DA1R 0JS",reedcheryl,2023-01-03,중형 SUV,Sorento,False,2023-03-13,61500000,계좌이체,2,오프라인,2021-04,중동아프리카,1,2
Mina Ibrahim,1974-03-23,51,남,+44(0)29 2018 0599,georgiajones@nicholls.com,"Flat 47s, Mathew park, Payneside, WN23 1AU",xpotter,2024-10-30,중형 SUV,Accent,False,2024-11-12,29790000,신용카드,1,온라인,2019-03,중동아프리카,2,5
Omar Ibrahim,1996-04-24,29,여,(028)9018085,qbooth@taylor.com,"Flat 63q, Rachael via, New Owenhaven, N5 1PT",mathew96,2025-02-02,준중형 세단,Tucson,False,2025-03-09,38500000,신용카드,1,오프라인,2021-07,중동아프리카,2,5
Layla Benali,1981-03-07,44,남,+44(0)20 74960160,sharper@gmail.com,"454 Sheila harbor, Port Frederickside, G18 3YR",xhilton,2022-05-31,준중형 SUV,Venue,False,2023-06-05,22620000,신용카드,5,오프라인,2021-01,중동아프리카,3,3
Omar Farsi,1999-03-17,26,여,+44(0)1314960886,knowleseleanor@hotmail.co.uk,"52 Green light, Hazelchester, PH3H 5SF",williambegum,2024-10-25,준중형 세단,Santa Fe,False,2025-01-23,37370000,계좌이체,3,오프라인,2020-10,중동아프리카,0,0
Samira Farsi,1984-08-29,41,남,+44118 4960088,gjones@arnold.com,"199 Sheila villages, Rossland, L2 6EE",shannon48,2023-09-07,소형 해치백,G80,False,2024-11-15,85820000,신용카드,1,오프라인,2021-05,중동아프리카,1,1
Zahra Ali,1967-06-13,58,여,(0131) 496 0263,griffithsabbie@higgins-turner.co.uk,"5 Grace mountains, South Lesleyview, SP4 7BX",ruthbowen,2022-08-02,준대형 세단,Kona,True,2024-06-21,32330000,현금,1,오프라인,2022-02,중동아프리카,2,5
Mohamed Ali,1968-07-26,57,여,01214960619,melissadixon@yahoo.co.uk,"Flat 62, Toby squares, Prestonstad, B26 8NA",karenjones,2024-08-09,준대형 SUV,G80,False,2025-01-30,89430000,계좌이체,2,온라인,2021-05,중동아프리카,1,2
Omar Rahimi,1964-08-25,61,여,+44117 4960686,lee63@frost.biz,"Flat 2, Eileen roads, Phillipstown, E0W 9BY",scottdarren,2023-04-03,픽업트럭,Grandeur,False,2024-08-11,60570000,현금,1,온라인,2022-03,중동아프리카,1,2
Zahra Farsi,1966-03-17,59,남,0116 496 0520,charles37@hotmail.com,"Flat 19, Deborah canyon, New Eleanorchester, G7 7NP",abdul92,2022-06-07,준중형 해치백,Accent,False,2023-10-15,27960000,계좌이체,1,온라인,2019-03,중동아프리카,0,0
Ahmed Mansour,1983-09-12,42,여,+44(0)1632960894,eric81@gmail.com,"896 Johnson pines, West Lawrence, IV6 2ZQ",harryhughes,2024-05-08,중형 세단,i20,False,2024-05-28,23940000,계좌이체,1,오프라인,2020-05,중동아프리카,0,0
Khaled Jafari,1985-09-03,40,남,+44(0)292018660,awebb@gordon.com,"72 Poole lodge, East Dominicstad, N8 0DQ",gailburgess,2024-02-14,소형 해치백,EV6,True,2024-08-10,87790000,현금,1,온라인,2022-05,중동아프리카,1,1
Layla Khalid,1970-05-20,55,남,0151 496 0715,wardchloe@hotmail.co.uk,"Flat 24, Tucker gardens, Mohammadmouth, M0T 4QH",daviesstanley,2025-03-13,소형 해치백,Grandeur,False,2025-03-24,61380000,계좌이체,1,온라인,2022-03,중동아프리카,1,2
Samira Saleh,1967-12-13,58,남,+44(0)121 496 0719,vwilliams@baker-gibbons.com,"Studio 1, Gordon islands, Smithside, IV80 7BG",annettejones,2024-04-05,대형 SUV,K5,False,2025-02-10,56220000,신용카드,2,오프라인,2020-01,중동아프리카,2,5
Samira Ali,1970-04-13,55,여,+44191 496 0430,benpayne@williams-smith.com,"Flat 23, Barber canyon, Port Chelsea, N32 7RZ",garryobrien,2024-04-04,준대형 세단,Kona,True,2025-03-26,46970000,계좌이체,4,온라인,2022-02,중동아프리카,3,3
Mina Benali,1980-05-10,45,남,(028) 9018 0238,jordankhan@outlook.com,"140 Mary ridges, East Clive, M4C 4UD",tinabailey,2025-02-07,중형 세단,NEXO,True,2025-03-25,58380000,현금,1,오프라인,2018-03,중동아프리카,1,2
Ahmed Benali,1986-10-18,39,남,(0808)1570515,malcolm60@yahoo.co.uk,"Studio 99, Reece plaza, North Robert, S4 3FG",uturner,2022-11-19,대형 세단,Elantra,False,2023-06-06,49640000,신용카드,2,오프라인,2020-08,중동아프리카,2,5
Omar Hassan,1997-10-11,28,남,+44151 4960773,carrollkathleen@hunt.com,"03 Barnett lane, West Jaynemouth, M24 0UN",danielsolivia,2023-05-24,대형 세단,G80,False,2023-06-07,81350000,신용카드,1,오프라인,2021-05,중동아프리카,1,1
Layla Rahimi,1993-10-20,32,여,0161 4960582,xburton@hotmail.co.uk,"Flat 00, Diana lodge, Port Natasha, HU6M 1NY",mphillips,2024-04-23,중형 세단,Grandeur,False,2024-12-29,57160000,현금,4,오프라인,2022-03,중동아프리카,3,4
Ahmed Benali,1978-06-17,47,남,01154960839,june14@hotmail.co.uk,"955 Lawrence ranch, East Helen, GY32 3YL",gspencer,2022-11-29,중형 SUV,K5,False,2025-03-29,55370000,현금,5,오프라인,2020-01,중동아프리카,3,3
Ali Jafari,1969-04-28,56,여,029 2018159,julian40@gmail.com,"762 Alex viaduct, Jeanport, G56 8UD",scottmartin,2024-06-24,준중형 SUV,EV6,True,2025-02-28,89680000,신용카드,2,온라인,2022-05,중동아프리카,1,2
Samira Mansour,1997-02-12,28,여,01144960584,ybishop@hamilton.com,"Flat 79M, Dickinson terrace, Katherinechester, LA9M 3XJ",baxterlouise,2022-11-25,준중형 해치백,Grandeur,False,2023-10-03,60470000,현금,2,온라인,2022-03,중동아프리카,1,1
Omar Jafari,1991-02-15,34,남,0808 1570108,helenshort@daniels-gibson.com,"Studio 78A, Butcher shores, Stanleystad, HU12 7SL",baileyemma,2024-06-21,준중형 세단,Sportage,False,2024-12-11,47400000,계좌이체,1,온라인,2021-11,중동아프리카,0,0
Fatima Khalid,1987-03-21,38,남,0191 4960682,evanselizabeth@yahoo.co.uk,"Flat 12l, Taylor green, Port Sallyshire, W4A 3HW",bwalker,2022-04-26,준중형 해치백,K5,False,2024-06-30,69150000,계좌이체,1,온라인,2020-01,중동아프리카,1,1
Fatima Mansour,1980-02-16,45,여,+44(0)808 1570570,pbrown@oconnor-wallace.com,"8 Long cape, Anthonyside, L0K 1HL",jacksonann,2024-12-16,중형 세단,Venue,False,2024-12-28,20270000,신용카드,1,오프라인,2021-01,중동아프리카,2,5
Samira Rahimi,1996-08-11,29,여,+442074960797,tom28@griffiths-evans.org,"50 Martin terrace, Mitchellfort, ML0 7JY",sian05,2024-09-23,픽업트럭,Avante,False,2025-03-02,24770000,신용카드,1,오프라인,2020-09,중동아프리카,2,5
Samira Saleh,1967-04-27,58,남,+44(0)1154960602,sean03@gmail.com,"84 Jade field, Carlton, E97 7NX",nnicholls,2023-10-19,픽업트럭,EV6,True,2024-01-15,80380000,현금,1,오프라인,2022-05,중동아프리카,1,2
Ahmed Hassan,1985-04-04,40,남,(0114)4960864,paulknight@clarke.net,"Flat 9, Walsh rue, East Anne, N8 9LG",eburton,2023-06-28,소형 해치백,NEXO,True,2024-08-02,56330000,현금,2,온라인,2018-03,중동아프리카,1,1
Khaled Benali,1978-07-10,47,여,0115 4960730,lclayton@yahoo.com,"Flat 8, Jade plains, West Sean, UB55 6ZX",mcdonaldcarl,2023-03-31,준중형 SUV,K5,False,2023-07-12,69130000,현금,5,온라인,2020-01,중동아프리카,3,3
Ahmed Mansour,1995-07-24,30,여,(01632)960237,ljohnson@robinson.com,"6 West well, Hartleyside, TS7 9PL",johnsonlouise,2024-01-13,중형 SUV,Grandeur,False,2025-02-01,68660000,계좌이체,3,오프라인,2022-03,중동아프리카,1,1
Zahra Jafari,1985-08-11,40,남,+441214960398,wattsrhys@lewis-parsons.com,"Studio 08, Charlton rest, Thompsonside, M88 6HW",taylorandrew,2025-02-27,준중형 해치백,Accent,False,2025-03-22,25480000,계좌이체,3,온라인,2019-03,중동아프리카,0,0
Ali Mansour,1991-05-16,34,여,+441144960239,gardnerjulia@outlook.com,"Studio 18Z, Dean port, Bakerville, G0S 0RR",wonganthony,2024-03-06,준중형 해치백,Tucson,False,2024-06-16,33480000,계좌이체,1,오프라인,2021-07,중동아프리카,0,0
Zahra Ali,1979-03-07,46,여,(0161) 496 0298,ofisher@white.net,"Studio 70, Guy cape, Hughesmouth, S8U 3PQ",fbrown,2024-02-16,준중형 해치백,Venue,False,2024-08-17,21910000,현금,3,온라인,2021-01,중동아프리카,0,0
Layla Mansour,1971-02-27,54,여,(0306) 9990231,maurice05@yahoo.co.uk,"Flat 18, Richards spring, New Henry, UB4M 4QW",stuartpage,2023-07-27,준대형 세단,Venue,False,2023-09-14,28300000,현금,1,온라인,2021-01,중동아프리카,0,0
Fatima Hassan,1985-03-30,40,여,+44(0)9098790701,eileenjames@ryan.info,"Studio 68M, Ian prairie, Shawmouth, W8A 3NL",rachel84,2023-05-14,준중형 SUV,Grandeur,False,2024-03-29,61350000,현금,1,오프라인,2022-03,중동아프리카,1,1
Zahra Mansour,1996-06-08,29,여,(020) 7496 0403,bwatson@gmail.com,"9 Jones trace, Loweborough, N9 5TG",cherylwilliams,2022-09-09,준중형 세단,GV70,False,2024-11-07,83380000,현금,1,온라인,2022-08,중동아프리카,1,1
Layla Ibrahim,1991-01-09,34,여,+44(0)1914960302,yvonne54@obrien.com,"Studio 51J, Johnson glens, New Ann, BB73 4RU",janet21,2023-09-18,소형 해치백,K5,False,2025-01-21,52600000,신용카드,1,오프라인,2020-01,중동아프리카,2,5
Omar Ibrahim,1988-07-09,37,남,+44191 4960417,douglasangela@gmail.com,"2 Sally shores, South Annaside, M1 4LU",dharrison,2025-03-30,준중형 SUV,GV70,False,2025-03-30,74910000,현금,1,온라인,2022-08,중동아프리카,1,1
Layla Rahimi,1981-08-10,44,여,(0808)1570837,richard29@outlook.com,"Flat 33X, Derek manors, Robertshire, RM9P 1XH",dpatel,2022-10-08,준중형 SUV,Santa Fe,False,2024-05-16,39130000,신용카드,1,오프라인,2020-10,중동아프리카,2,5
Ahmed Jafari,1992-07-09,33,남,+44(0)141 496 0610,lisa34@barker.com,"349 Liam fords, Pageside, S75 1UT",millsheather,2023-07-16,준중형 SUV,GV70,False,2024-02-15,85520000,현금,1,온라인,2022-08,중동아프리카,1,1
Ahmed Mansour,1991-09-17,34,남,+44115 496 0440,duncanodonnell@farmer-rogers.biz,"Flat 26d, Georgina lights, South Scott, DN19 6ZP",carole22,2024-04-23,준중형 해치백,K5,False,2025-01-14,67210000,계좌이체,1,오프라인,2020-01,중동아프리카,1,1
Khaled Khalid,1994-02-05,31,남,0141 496 0414,stevenslorraine@metcalfe-carpenter.com,"344 Gardiner locks, Davidsonside, L9A 7JJ",smithrebecca,2023-06-02,픽업트럭,GV70,False,2024-03-21,82570000,신용카드,2,온라인,2022-08,중동아프리카,1,1
Khaled Jafari,1969-12-10,56,여,+44(0)1314960749,sarahgreen@booth-fox.net,"Flat 12, Gregory bridge, Mitchellbury, ME66 8HB",stephanie00,2022-09-02,소형 해치백,Elantra,False,2024-12-12,35130000,계좌이체,3,온라인,2020-08,중동아프리카,0,0
Layla Khalid,1996-12-08,29,여,01184960143,colin14@williams.biz,"7 Lorraine motorway, North Jaynefurt, NG5P 2PT",rowleylorraine,2025-01-06,준중형 SUV,Elantra,False,2025-03-28,40280000,현금,2,온라인,2020-08,중동아프리카,2,5
Zahra Jafari,1964-05-27,61,남,0116 496 0693,patelmarcus@goddard.com,"2 Alexander ferry, Cameronmouth, BA5E 4EE",carl06,2023-12-26,준중형 해치백,Ioniq 6,True,2025-01-02,73200000,신용카드,1,온라인,2023-01,중동아프리카,1,2
Fatima Farsi,1966-09-28,59,여,01154960514,jackgreen@yahoo.co.uk,"8 Scott dale, West Ian, N3 2GB",gemma20,2022-08-26,대형 SUV,Ioniq 6,True,2022-11-06,76970000,신용카드,2,온라인,2023-01,중동아프리카,1,2
Khaled Mansour,1969-05-21,56,여,(0115)4960348,francisallen@yahoo.com,"28 Nolan crescent, East Norman, PH4N 4PF",leonskinner,2023-12-11,대형 세단,Tucson,False,2024-07-29,44240000,현금,4,오프라인,2021-07,중동아프리카,3,3
Ali Ibrahim,1984-07-09,41,남,028 9018 0760,carole86@oconnor-coleman.com,"77 Martyn shore, Edwardfort, N61 2RR",brett91,2023-05-20,준중형 세단,Avante,False,2024-06-01,19060000,신용카드,4,오프라인,2020-09,중동아프리카,3,4
Mina Rahimi,1990-10-16,35,남,(0116) 4960538,gfletcher@jones-chambers.com,"Studio 52, Shaw tunnel, Lisachester, HD3N 8YS",ashleighshaw,2024-09-11,준대형 세단,Sorento,False,2025-01-20,57760000,계좌이체,1,온라인,2021-04,중동아프리카,1,1
Layla Saleh,1981-03-31,44,남,(0116) 496 0436,joelwebb@yahoo.co.uk,"763 Brandon groves, Lake Mitchell, NR58 3YA",zmckenzie,2024-07-14,소형 해치백,Venue,False,2024-09-09,24620000,신용카드,1,온라인,2021-01,중동아프리카,2,5
Mohamed Ibrahim,1984-05-22,41,남,020 7946 0793,oglover@harding.net,"Flat 0, Daniel parks, South Callum, BN72 1LX",jbradley,2022-04-29,준중형 세단,Sorento,False,2024-09-08,64010000,계좌이체,1,오프라인,2021-04,중동아프리카,1,1
Khaled Jafari,1973-10-08,52,남,01414960493,adrianrobinson@leonard-wright.com,"Flat 54, Rosemary village, South Rita, HS6 3ZE",lkhan,2024-09-30,준중형 해치백,EV6,True,2025-01-30,71430000,계좌이체,1,오프라인,2022-05,중동아프리카,1,2
Ahmed Hassan,1984-09-12,41,여,01134960369,turnerjamie@yahoo.com,"Studio 49D, Jasmine lodge, Scotttown, SL83 5JZ",rhodesjanet,2022-09-13,준중형 세단,K5,False,2023-06-03,52760000,현금,1,오프라인,2020-01,중동아프리카,2,5
Ali Hassan,1988-01-21,37,여,+44(0)306 999 0901,kirstyfoster@outlook.com,"3 Abdul groves, South Rosie, WA73 8EN",masonjanice,2025-03-08,준중형 해치백,Grandeur,False,2025-03-14,58020000,계좌이체,1,오프라인,2022-03,중동아프리카,1,1
